Age,Candy Consumption,Marital Status
35,16.67422168,0
37,16.17062171,0
38,14.74612428,0
38,16.52912571,0
38,16.63119745,0
39,15.00843749,0
39,15.39673501,0
40,15.08035255,0
44,12.67147317,0
45,13.98520142,0
45,13.45640931,0
47,13.58579423,0
47,15.25748562,0
47,16.63619183,0
48,14.31371329,0
48,12.16962695,0
48,12.79230252,0
49,13.56490001,0
49,14.86517993,0
49,13.88184364,0
49,12.38189161,0
50,14.26796548,0
50,14.92339209,0
50,12.86658285,0
50,13.86057541,0
50,12.08051567,0
51,12.67686375,0
51,11.58001547,0
51,13.04694401,0
52,13.72821283,0
52,14.3496336,0
52,12.73124494,0
52,12.00183156,0
52,12.94136667,0
52,13.00432882,0
52,13.20117393,0
52,14.01142016,0
53,12.32338634,0
53,12.67602849,0
53,13.92715401,0
53,11.26083088,0
53,10.65848431,0
53,12.54803508,1
53,10.68950826,0
53,13.81136025,0
54,12.21164322,0
54,11.12801239,0
54,8.536587091,0
54,11.50282538,0
54,12.93650045,0
54,15.35092354,0
55,12.82302079,0
55,12.07874931,0
55,12.55452608,0
55,13.58501283,0
55,13.01121825,0
55,14.02856997,0
56,12.54057015,0
56,12.84269682,0
56,11.75109049,0
56,10.90088043,0
56,13.27437748,0
56,14.81952388,0
56,16.07904429,1
57,12.20896358,0
57,11.96960251,0
57,12.16947748,0
57,11.79154682,0
57,12.59139696,0
57,12.65873126,0
57,15.23077786,0
57,12.65355557,0
57,11.6699171,0
57,14.06520233,0
57,13.87158194,0
58,10.64596474,0
58,11.11131316,0
58,11.66437491,0
58,11.723485,0
58,12.35360979,1
58,12.3665741,0
58,14.48675751,0
58,11.70113499,1
58,11.02213098,0
58,13.01320363,0
58,12.37560183,0
58,13.3962706,0
58,14.27705015,0
59,9.88746121,0
59,13.31852018,1
59,11.26442439,0
59,11.40055521,0
59,11.40223937,1
59,10.37229934,0
59,13.30124638,0
59,12.26572934,1
60,10.4149006,0
60,15.06853821,0
60,13.90319419,0
60,10.42159385,0
60,11.32176222,1
60,10.21881924,0
60,11.92598805,0
60,11.21441995,0
61,12.15912291,1
61,11.54142163,1
61,11.18679002,0
61,12.80951943,1
61,9.547599395,0
61,11.60682957,0
61,13.94474669,1
62,13.77129806,0
62,11.44103388,1
62,12.72110766,0
62,12.27850665,1
62,12.32146715,0
62,11.13638766,1
62,10.59520701,0
62,12.88287847,1
62,11.60734511,0
62,10.72839052,1
63,10.97084653,0
63,11.35402961,1
63,11.27815192,1
63,11.90518956,1
63,10.90089671,1
63,11.83929779,1
63,11.60979593,1
63,10.6296851,0
63,11.24234399,1
63,11.40191727,0
64,11.80939673,1
64,10.43371862,0
64,10.48363698,1
64,13.43298267,1
64,12.50198904,1
65,9.764580644,0
65,10.32347239,1
65,12.89270959,1
65,13.1881505,1
65,10.26261154,1
65,11.08808153,1
65,10.35742779,1
65,10.65507834,1
65,9.772685057,1
65,11.58367569,1
65,8.986333081,1
65,9.713357974,1
65,12.25876853,1
65,12.72452849,1
66,10.18701164,1
66,10.32853192,1
66,11.46375889,1
66,10.21465841,1
66,9.828438052,1
67,11.63282351,1
67,11.47320123,1
67,10.10894252,1
67,10.4400228,1
68,10.83399345,1
68,9.353093834,1
68,10.67629994,1
68,11.90555203,1
68,9.082087213,1
68,11.46140713,1
68,9.877652419,1
68,11.39825384,1
69,12.16762747,1
69,10.34668229,1
69,11.2138633,1
70,10.50344771,1
70,9.02373356,1
70,11.65712557,1
70,10.22577502,1
71,9.471118201,1
71,10.25766792,1
71,9.64507783,1
71,11.03917531,1
72,9.749917199,1
72,11.73382081,1
72,9.070773617,1
72,12.04776853,1
73,8.745245622,1
74,10.6751401,1
74,9.414732993,1
74,6.672901794,1
74,10.31280269,1
74,9.909321908,1
75,11.83417006,1
75,7.898423389,1
75,7.372881557,1
79,8.247517741,1
79,9.913352198,1
80,8.024574454,1
81,10.11190111,1
85,8.630569733,1
86,7.175500973,1
86,7.913561734,1
87,5.380909963,1
92,5.64149586,1
