TotalSalary,TotalSavings
6196.600351,897.0814715
7408.922978,467.2049554
3421.342496,364.7594894
5852.974411,308.9439556
4415.286569,468.4535523
5948.209866,871.3255592
4241.613945,148.7775637
7136.630811,238.012468
3986.488868,125.5627368
6002.689956,323.4597765
4980.987679,221.2747633
3841.152782,689.2421134
7858.353654,784.5541779
6257.593188,647.1669146
3319.017299,605.5366631
8127.440298,529.8437612
9208.420458,907.550685
5346.81359,61.75444371
4546.221363,479.9667899
7296.206779,439.2267957
4335.839529,910.4064515
4339.716411,151.8023818
3866.390081,670.5369947
5352.916832,552.7038761
4983.230306,772.3100028
6113.012606,598.749685
7001.377195,695.2233929
6036.790755,328.7827562
4712.686166,476.8752981
3300.76454,53.02849722
5945.617581,317.690799
7705.288425,792.3751604
6236.115228,147.6651767
5198.782224,792.0766984
5628.224131,553.8533656
4546.129706,929.0554745
4260.611963,903.9815949
6641.20941,966.5437763
7000.173333,727.6692883
6607.385832,673.6463991
6190.233956,343.4384409
3725.995198,359.3735672
5674.001227,843.1347381
4641.09195,180.49997
3864.835903,389.0427511
5766.846876,595.5466121
6510.876913,376.2117194
4809.981321,495.3267709
8738.648035,592.6216702
5454.854596,527.6957723
5538.682097,832.5654387
4574.788312,484.1359451
5279.397813,513.0211557
5965.967771,316.4417832
3100.725985,24.27242731
4550.04484,744.141777
4361.620653,913.5091523
5770.556616,601.1973092
6235.241459,319.6821812
7589.628506,285.4380222
5464.807108,273.3787133
5577.061972,284.3240988
5490.676004,70.51648617
6564.936214,368.7694689
4372.281635,720.7801417
4020.005309,115.0138043
1625.120383,440.4315402
2098.100858,483.0729935
1689.693072,163.1408924
5775.54315,102.53119
7182.060789,991.7069798
6284.046797,351.4119432
6243.917819,147.8362531
7431.907367,456.4464109
6528.135344,365.2343304
4834.94955,503.1603649
3968.925047,413.4965416
5226.043971,247.8376877
8489.207152,565.3352204
6886.969975,415.0709813
3143.743126,336.5713553
2734.636023,283.6787835
5292.761534,51.55843979
6455.763746,361.5981053
4886.103336,512.6569929
5612.17291,541.5427922
5042.830061,780.2589762
5297.600424,250.9495502
6514.413605,379.0371801
4841.70102,10.20126883
5184.451093,529.2326578
5748.471835,98.7897237
1844.161392,196.1676223
6143.329899,333.2914606
6383.280665,342.1862173
5595.961243,85.48809365
3841.210936,110.4244562
6161.845047,344.3234638
3613.212418,841.4235144
5054.857176,501.6736315
2303.335112,241.0044762
5270.869091,502.0400794
8722.042235,895.096435
4321.465873,158.4125055
6362.955456,653.682809
8284.07172,853.4753465
3780.524212,653.5260826
5304.716075,253.4529287
6336.249133,618.6731787
5012.93995,521.7673296
5205.988293,247.8111793
6473.971321,668.5871091
6320.618676,915.3450678
3757.021751,354.7508584
6601.418718,962.2813555
5118.857228,785.1695913
5204.584616,517.855131
5913.414091,311.71686
4969.125086,220.962342
4962.742727,208.7152255
4589.879679,484.8282046
4247.038851,428.9728422
4133.03559,405.6453821
4157.829303,131.5835031
4799.688341,471.7379481
8104.18346,536.3229528
5529.999137,276.7254051
2443.913577,532.5600926
4886.51687,474.9533102
5936.292554,581.2213033
7386.869186,743.653775
7100.845592,725.9914732
6588.852197,935.4132213
3932.391493,682.0747354
4703.625982,194.5675953
5526.441715,279.7964652
5443.252841,550.4206724
5086.201647,222.804403
3361.187557,344.4143925
6780.467568,704.6681485
7768.486647,496.4952351
5869.993566,866.7606455
5673.475813,559.1962796
4930.45007,215.545873
5056.672489,515.005247
6249.654617,921.477385
7803.994602,782.889109
5855.845784,313.4526941
5531.738041,825.2083502
3715.186572,99.32717426
6062.725169,329.7210071
3032.878172,27.95026652
4052.890563,684.4061779
2196.029039,229.0926893
6208.180842,630.6685456
4700.466315,195.7002886
3684.881239,661.443789
6536.847445,370.5444292
3867.35046,661.3330178
5276.514603,808.1386907
4464.498113,429.8672496
5635.574995,563.6983953
6279.084033,907.7451392
4560.235609,181.880002
7382.342673,728.5565245
6302.825869,602.4878525
3933.259318,115.1220327
7061.071895,433.463019
4298.761768,425.0163503
8385.000857,544.5829111
5809.810145,608.1045265
6590.103565,381.9691539
5029.423893,504.7384984
6715.846377,698.2481908
4622.409494,764.4995472
7112.492855,432.9075998
4400.907213,921.207239
6112.088595,625.8285713
6247.64683,351.3400376
6707.764795,397.0661837
4677.002342,463.1344952
3161.06716,295.7089736
